Gender_Male,Married_Yes,Self_Employed_Yes,Property_Area_Semiurban,Property_Area_Urban,Education_Not Graduate
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
0,0,0,0,0,0
1,0,0,1,0,0
1,1,0,0,0,0
1,1,0,1,0,0
1,1,1,0,1,0
1,1,0,0,0,1
1,1,1,0,1,0
1,1,0,1,0,0
1,1,0,0,0,0
1,1,0,1,0,1
1,1,0,0,0,1
1,1,1,0,1,0
1,1,0,0,1,0
1,0,0,0,1,0
1,0,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
0,0,0,0,1,0
1,0,0,0,0,0
1,1,0,0,0,1
1,0,0,1,0,0
0,0,0,0,1,0
1,1,0,0,0,0
1,1,0,0,1,0
0,1,0,1,0,0
1,1,0,1,0,1
1,0,0,0,1,0
0,0,0,0,0,0
1,1,0,0,0,1
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,1,0,0
0,1,0,0,1,0
1,0,0,0,1,0
1,1,0,0,1,1
1,1,1,0,0,0
1,1,0,0,0,0
1,0,0,0,1,0
1,1,0,1,0,1
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,0,0,0
0,0,0,1,0,0
1,0,1,1,0,1
0,0,0,1,0,0
1,1,0,0,1,1
0,0,0,0,0,1
1,1,0,0,1,0
1,1,0,0,0,1
1,0,0,0,1,0
1,1,1,0,1,0
1,1,0,0,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,1,0,0,0
0,1,1,0,0,1
1,1,0,0,1,0
0,0,0,0,1,0
0,0,0,1,0,0
1,1,1,1,0,0
1,1,0,0,1,0
1,1,0,0,1,1
0,0,0,0,1,1
1,1,0,0,1,0
1,1,1,1,0,1
1,1,0,0,0,0
1,1,0,1,0,0
1,1,1,1,0,0
1,1,0,0,0,0
1,1,0,0,0,0
0,0,0,0,1,0
1,0,0,1,0,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,1,0,0
0,0,0,0,1,0
1,1,0,0,1,0
1,1,1,1,0,0
1,1,0,0,1,0
1,1,1,1,0,0
1,1,0,0,1,1
1,1,0,0,0,0
1,1,0,1,0,0
1,0,0,0,0,0
1,1,0,1,0,1
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
0,0,1,0,1,0
1,1,0,1,0,1
1,0,0,0,0,0
1,0,0,0,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,0,0,0,0,1
1,1,1,0,0,0
1,1,0,0,1,0
1,1,0,0,0,1
1,1,0,0,0,0
1,1,0,1,0,1
1,0,0,1,0,1
0,0,0,0,1,0
0,0,0,0,0,0
1,0,0,0,1,1
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,1,0
1,0,0,0,0,1
1,1,0,0,1,0
1,1,0,0,0,0
1,1,0,0,0,0
0,0,0,0,0,0
1,1,0,1,0,0
1,1,0,0,1,0
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,0,0,1,0,0
1,1,0,0,0,0
1,1,1,1,0,1
1,1,0,0,0,1
0,1,0,1,0,0
1,0,0,0,0,0
1,1,0,1,0,1
1,1,0,1,0,1
1,1,0,0,0,0
1,1,0,0,0,0
1,1,0,0,1,0
1,1,1,0,0,0
1,1,0,1,0,0
1,1,0,0,1,0
1,1,1,1,0,0
0,0,0,0,0,1
0,0,0,0,1,0
1,0,1,0,1,0
1,1,0,0,1,0
1,0,0,0,0,0
1,0,1,0,1,0
1,1,1,0,0,0
1,0,0,0,0,1
0,1,0,1,0,1
0,1,0,1,0,0
1,1,0,1,0,0
1,0,0,0,1,0
1,1,0,0,1,1
1,0,0,0,0,0
1,1,1,0,1,1
1,0,0,0,1,0
1,1,0,1,0,0
0,0,0,0,0,0
1,0,0,0,1,0
1,0,0,0,0,0
1,1,0,0,1,0
1,1,0,1,0,0
1,1,0,1,0,0
1,1,0,1,0,0
1,0,0,0,1,0
1,1,0,0,0,1
1,1,0,1,0,0
1,1,0,0,0,0
0,0,0,1,0,0
1,0,0,0,0,0
1,1,0,1,0,1
1,1,0,1,0,1
1,1,0,0,1,0
0,1,0,1,0,0
1,1,0,1,0,0
1,1,0,0,0,0
1,0,0,1,0,0
1,1,0,0,0,1
1,1,0,1,0,0
1,1,0,0,0,1
1,1,0,0,1,0
1,1,0,0,0,0
0,1,1,0,0,0
